team,avg_lap_time,latitude,longitude,circuitType,precipitation,windspeed,temp,race_condition
Mercedes,85.45708333333334,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
Red Bull,86.50208333333335,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
Williams,87.41600000000001,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
Toro Rosso,87.77459999999999,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
Force India,88.14189999999999,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
Lotus F1,88.6215,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
Sauber,89.25899999999999,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
Manor Marussia,91.4461,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
Ferrari,92.5275,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
McLaren,95.04700000000001,19.4042,-99.0907,Race circuit,0.039,9.2,63.3,Wet
Mercedes,77.15124999999999,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
Ferrari,77.81091666666667,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
Williams,79.07681818181817,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
Red Bull,81.9417,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
Force India,79.65029999999999,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
Toro Rosso,80.01320000000001,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
Lotus F1,80.7618,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
Sauber,80.96170000000001,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
McLaren,80.95479999999999,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
Manor Marussia,82.8217,-23.7036,-46.6997,Race circuit,0.0,10.3,76.1,Dry
Mercedes,107.5185,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
Ferrari,109.47163636363635,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
Force India,109.50983333333335,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
